Record:;0
YOffset:;-1.180000e+02
YMult:;4.000000e-04
YZero:;0.000000e+00
XIncr:;4.000000e-03
XZero:;-3.680000e+00
XUnit:;s
YUnit:;Volts
  250;-2.684000e+00;1.240000e-02
  251;-2.680000e+00;1.280000e-02
  252;-2.676000e+00;1.680000e-02
  253;-2.672000e+00;1.360000e-02
  254;-2.668000e+00;1.520000e-02
  255;-2.664000e+00;1.240000e-02
  256;-2.660000e+00;1.400000e-02
  257;-2.656000e+00;1.280000e-02
  258;-2.652000e+00;1.240000e-02
  259;-2.648000e+00;1.440000e-02
  260;-2.644000e+00;1.320000e-02
  261;-2.640000e+00;1.280000e-02
  262;-2.636000e+00;1.400000e-02
  263;-2.632000e+00;1.360000e-02
  264;-2.628000e+00;1.560000e-02
  265;-2.624000e+00;1.280000e-02
  266;-2.620000e+00;1.400000e-02
  267;-2.616000e+00;1.360000e-02
  268;-2.612000e+00;1.320000e-02
  269;-2.608000e+00;1.440000e-02
  270;-2.604000e+00;1.360000e-02
  271;-2.600000e+00;1.400000e-02
  272;-2.596000e+00;1.400000e-02
  273;-2.592000e+00;1.240000e-02
  274;-2.588000e+00;1.560000e-02
  275;-2.584000e+00;1.240000e-02
  276;-2.580000e+00;1.440000e-02
  277;-2.576000e+00;1.400000e-02
  278;-2.572000e+00;1.240000e-02
  279;-2.568000e+00;1.520000e-02
  280;-2.564000e+00;1.200000e-02
  281;-2.560000e+00;1.360000e-02
  282;-2.556000e+00;1.360000e-02
  283;-2.552000e+00;1.280000e-02
  284;-2.548000e+00;1.440000e-02
  285;-2.544000e+00;1.240000e-02
  286;-2.540000e+00;1.320000e-02
  287;-2.536000e+00;1.280000e-02
  288;-2.532000e+00;1.360000e-02
  289;-2.528000e+00;1.440000e-02
  290;-2.524000e+00;1.240000e-02
  291;-2.520000e+00;1.400000e-02
  292;-2.516000e+00;1.200000e-02
  293;-2.512000e+00;1.360000e-02
  294;-2.508000e+00;1.360000e-02
  295;-2.504000e+00;1.320000e-02
  296;-2.500000e+00;1.320000e-02
  297;-2.496000e+00;1.240000e-02
  298;-2.492000e+00;1.240000e-02
  299;-2.488000e+00;1.520000e-02
  300;-2.484000e+00;1.320000e-02
  301;-2.480000e+00;1.360000e-02
  302;-2.476000e+00;1.280000e-02
  303;-2.472000e+00;1.320000e-02
  304;-2.468000e+00;1.440000e-02
  305;-2.464000e+00;1.280000e-02
  306;-2.460000e+00;1.360000e-02
  307;-2.456000e+00;1.440000e-02
  308;-2.452000e+00;1.360000e-02
  309;-2.448000e+00;1.400000e-02
  310;-2.444000e+00;1.240000e-02
  311;-2.440000e+00;1.400000e-02
  312;-2.436000e+00;1.440000e-02
  313;-2.432000e+00;1.160000e-02
  314;-2.428000e+00;1.440000e-02
  315;-2.424000e+00;1.360000e-02
  316;-2.420000e+00;1.440000e-02
  317;-2.416000e+00;1.280000e-02
  318;-2.412000e+00;1.240000e-02
  319;-2.408000e+00;1.320000e-02
  320;-2.404000e+00;1.320000e-02
  321;-2.400000e+00;1.520000e-02
  322;-2.396000e+00;1.320000e-02
  323;-2.392000e+00;1.360000e-02
  324;-2.388000e+00;1.400000e-02
  325;-2.384000e+00;1.400000e-02
  326;-2.380000e+00;1.480000e-02
  327;-2.376000e+00;1.320000e-02
  328;-2.372000e+00;1.360000e-02
  329;-2.368000e+00;1.480000e-02
  330;-2.364000e+00;1.480000e-02
  331;-2.360000e+00;1.400000e-02
  332;-2.356000e+00;1.360000e-02
  333;-2.352000e+00;1.160000e-02
  334;-2.348000e+00;1.440000e-02
  335;-2.344000e+00;1.360000e-02
  336;-2.340000e+00;1.360000e-02
  337;-2.336000e+00;1.280000e-02
  338;-2.332000e+00;1.240000e-02
  339;-2.328000e+00;1.360000e-02
  340;-2.324000e+00;1.320000e-02
  341;-2.320000e+00;1.320000e-02
  342;-2.316000e+00;1.400000e-02
  343;-2.312000e+00;1.240000e-02
  344;-2.308000e+00;1.480000e-02
  345;-2.304000e+00;1.240000e-02
  346;-2.300000e+00;1.360000e-02
  347;-2.296000e+00;1.240000e-02
  348;-2.292000e+00;1.320000e-02
  349;-2.288000e+00;1.520000e-02
  350;-2.284000e+00;1.280000e-02
  351;-2.280000e+00;1.360000e-02
  352;-2.276000e+00;1.360000e-02
  353;-2.272000e+00;1.320000e-02
  354;-2.268000e+00;1.440000e-02
  355;-2.264000e+00;1.320000e-02
  356;-2.260000e+00;1.440000e-02
  357;-2.256000e+00;1.480000e-02
  358;-2.252000e+00;1.280000e-02
  359;-2.248000e+00;1.480000e-02
  360;-2.244000e+00;1.400000e-02
  361;-2.240000e+00;1.400000e-02
  362;-2.236000e+00;1.280000e-02
  363;-2.232000e+00;1.280000e-02
  364;-2.228000e+00;1.440000e-02
  365;-2.224000e+00;1.480000e-02
