Record:;0
YOffset:;-1.180000e+02
YMult:;4.000000e-04
YZero:;0.000000e+00
XIncr:;1.000000e-02
XZero:;-1.860000e+01
XUnit:;s
YUnit:;Volts
   48;-1.813000e+01;1.480000e-02
   49;-1.812000e+01;1.480000e-02
   50;-1.811000e+01;1.360000e-02
   51;-1.810000e+01;1.520000e-02
   52;-1.809000e+01;1.640000e-02
   53;-1.808000e+01;1.360000e-02
   54;-1.807000e+01;1.520000e-02
   55;-1.806000e+01;1.520000e-02
   56;-1.805000e+01;1.280000e-02
   57;-1.804000e+01;1.320000e-02
   58;-1.803000e+01;1.480000e-02
   59;-1.802000e+01;1.480000e-02
   60;-1.801000e+01;1.400000e-02
   61;-1.800000e+01;1.440000e-02
   62;-1.799000e+01;1.360000e-02
   63;-1.798000e+01;1.520000e-02
   64;-1.797000e+01;1.520000e-02
   65;-1.796000e+01;1.480000e-02
   66;-1.795000e+01;1.440000e-02
   67;-1.794000e+01;1.400000e-02
   68;-1.793000e+01;1.440000e-02
   69;-1.792000e+01;1.360000e-02
   70;-1.791000e+01;1.520000e-02
   71;-1.790000e+01;1.440000e-02
   72;-1.789000e+01;1.400000e-02
   73;-1.788000e+01;1.400000e-02
   74;-1.787000e+01;1.560000e-02
   75;-1.786000e+01;1.440000e-02
   76;-1.785000e+01;1.400000e-02
   77;-1.784000e+01;1.440000e-02
   78;-1.783000e+01;1.360000e-02
   79;-1.782000e+01;1.440000e-02
   80;-1.781000e+01;1.480000e-02
   81;-1.780000e+01;1.600000e-02
   82;-1.779000e+01;1.440000e-02
   83;-1.778000e+01;1.520000e-02
   84;-1.777000e+01;1.560000e-02
   85;-1.776000e+01;1.440000e-02
   86;-1.775000e+01;1.400000e-02
   87;-1.774000e+01;1.480000e-02
   88;-1.773000e+01;1.480000e-02
   89;-1.772000e+01;1.480000e-02
   90;-1.771000e+01;1.480000e-02
   91;-1.770000e+01;1.440000e-02
   92;-1.769000e+01;1.520000e-02
   93;-1.768000e+01;1.520000e-02
   94;-1.767000e+01;1.440000e-02
   95;-1.766000e+01;1.560000e-02
   96;-1.765000e+01;1.400000e-02
   97;-1.764000e+01;1.560000e-02
   98;-1.763000e+01;1.640000e-02
   99;-1.762000e+01;1.480000e-02
  100;-1.761000e+01;1.400000e-02
  101;-1.760000e+01;1.440000e-02
  102;-1.759000e+01;1.440000e-02
  103;-1.758000e+01;1.560000e-02
  104;-1.757000e+01;1.600000e-02
  105;-1.756000e+01;1.520000e-02
  106;-1.755000e+01;1.560000e-02
  107;-1.754000e+01;1.600000e-02
  108;-1.753000e+01;1.360000e-02
  109;-1.752000e+01;1.440000e-02
  110;-1.751000e+01;1.560000e-02
  111;-1.750000e+01;1.440000e-02
  112;-1.749000e+01;1.360000e-02
  113;-1.748000e+01;1.440000e-02
  114;-1.747000e+01;1.480000e-02
  115;-1.746000e+01;1.480000e-02
  116;-1.745000e+01;1.440000e-02
  117;-1.744000e+01;1.520000e-02
  118;-1.743000e+01;1.480000e-02
  119;-1.742000e+01;1.520000e-02
  120;-1.741000e+01;1.560000e-02
  121;-1.740000e+01;1.560000e-02
  122;-1.739000e+01;1.600000e-02
  123;-1.738000e+01;1.520000e-02
  124;-1.737000e+01;1.680000e-02
  125;-1.736000e+01;1.560000e-02
  126;-1.735000e+01;1.640000e-02
  127;-1.734000e+01;1.600000e-02
  128;-1.733000e+01;1.440000e-02
  129;-1.732000e+01;1.440000e-02
  130;-1.731000e+01;1.400000e-02
  131;-1.730000e+01;1.720000e-02
  132;-1.729000e+01;1.480000e-02
  133;-1.728000e+01;1.960000e-02
  134;-1.727000e+01;1.520000e-02
  135;-1.726000e+01;1.480000e-02
  136;-1.725000e+01;1.480000e-02
  137;-1.724000e+01;1.520000e-02
  138;-1.723000e+01;1.440000e-02
  139;-1.722000e+01;1.440000e-02
  140;-1.721000e+01;1.400000e-02
  141;-1.720000e+01;1.640000e-02
  142;-1.719000e+01;1.480000e-02
  143;-1.718000e+01;1.400000e-02
  144;-1.717000e+01;1.440000e-02
  145;-1.716000e+01;1.600000e-02
  146;-1.715000e+01;1.520000e-02
  147;-1.714000e+01;1.240000e-02
  148;-1.713000e+01;1.440000e-02
  149;-1.712000e+01;1.480000e-02
  150;-1.711000e+01;1.440000e-02
  151;-1.710000e+01;1.560000e-02
  152;-1.709000e+01;1.440000e-02
  153;-1.708000e+01;1.560000e-02
  154;-1.707000e+01;1.560000e-02
  155;-1.706000e+01;1.440000e-02
  156;-1.705000e+01;1.480000e-02
  157;-1.704000e+01;1.520000e-02
  158;-1.703000e+01;1.360000e-02
  159;-1.702000e+01;1.520000e-02
  160;-1.701000e+01;1.600000e-02
  161;-1.700000e+01;1.520000e-02
  162;-1.699000e+01;1.600000e-02
  163;-1.698000e+01;1.400000e-02
  164;-1.697000e+01;1.360000e-02
  165;-1.696000e+01;1.480000e-02
  166;-1.695000e+01;1.400000e-02
  167;-1.694000e+01;1.480000e-02
  168;-1.693000e+01;1.400000e-02
  169;-1.692000e+01;1.440000e-02
  170;-1.691000e+01;1.360000e-02
  171;-1.690000e+01;1.440000e-02
  172;-1.689000e+01;1.480000e-02
  173;-1.688000e+01;1.560000e-02
  174;-1.687000e+01;1.520000e-02
  175;-1.686000e+01;1.400000e-02
  176;-1.685000e+01;1.400000e-02
  177;-1.684000e+01;1.520000e-02
  178;-1.683000e+01;1.440000e-02
  179;-1.682000e+01;1.440000e-02
  180;-1.681000e+01;1.520000e-02
  181;-1.680000e+01;1.440000e-02
  182;-1.679000e+01;1.480000e-02
  183;-1.678000e+01;1.520000e-02
  184;-1.677000e+01;1.560000e-02
  185;-1.676000e+01;1.560000e-02
  186;-1.675000e+01;1.520000e-02
  187;-1.674000e+01;1.480000e-02
  188;-1.673000e+01;1.480000e-02
  189;-1.672000e+01;1.600000e-02
  190;-1.671000e+01;1.680000e-02
  191;-1.670000e+01;1.440000e-02
  192;-1.669000e+01;1.520000e-02
  193;-1.668000e+01;1.480000e-02
  194;-1.667000e+01;1.480000e-02
  195;-1.666000e+01;1.480000e-02
  196;-1.665000e+01;1.440000e-02
  197;-1.664000e+01;1.520000e-02
  198;-1.663000e+01;1.480000e-02
  199;-1.662000e+01;1.560000e-02
  200;-1.661000e+01;1.400000e-02
  201;-1.660000e+01;1.400000e-02
  202;-1.659000e+01;1.520000e-02
  203;-1.658000e+01;1.440000e-02
  204;-1.657000e+01;1.600000e-02
  205;-1.656000e+01;1.640000e-02
  206;-1.655000e+01;1.560000e-02
  207;-1.654000e+01;1.480000e-02
  208;-1.653000e+01;1.440000e-02
  209;-1.652000e+01;1.600000e-02
  210;-1.651000e+01;1.520000e-02
  211;-1.650000e+01;1.160000e-02
  212;-1.649000e+01;1.560000e-02
  213;-1.648000e+01;1.480000e-02
  214;-1.647000e+01;1.600000e-02
  215;-1.646000e+01;1.600000e-02
  216;-1.645000e+01;1.520000e-02
  217;-1.644000e+01;1.520000e-02
  218;-1.643000e+01;1.400000e-02
  219;-1.642000e+01;1.720000e-02
  220;-1.641000e+01;1.680000e-02
  221;-1.640000e+01;1.520000e-02
  222;-1.639000e+01;1.560000e-02
  223;-1.638000e+01;1.520000e-02
  224;-1.637000e+01;1.480000e-02
  225;-1.636000e+01;1.520000e-02
  226;-1.635000e+01;1.400000e-02
  227;-1.634000e+01;1.480000e-02
  228;-1.633000e+01;1.520000e-02
  229;-1.632000e+01;1.480000e-02
  230;-1.631000e+01;1.320000e-02
  231;-1.630000e+01;1.520000e-02
  232;-1.629000e+01;1.520000e-02
  233;-1.628000e+01;1.560000e-02
  234;-1.627000e+01;1.480000e-02
  235;-1.626000e+01;1.640000e-02
  236;-1.625000e+01;1.480000e-02
  237;-1.624000e+01;1.480000e-02
  238;-1.623000e+01;1.480000e-02
  239;-1.622000e+01;1.400000e-02
  240;-1.621000e+01;1.360000e-02
  241;-1.620000e+01;1.600000e-02
  242;-1.619000e+01;1.400000e-02
  243;-1.618000e+01;1.440000e-02
  244;-1.617000e+01;1.520000e-02
  245;-1.616000e+01;1.440000e-02
  246;-1.615000e+01;1.480000e-02
  247;-1.614000e+01;1.520000e-02
  248;-1.613000e+01;1.480000e-02
  249;-1.612000e+01;1.520000e-02
  250;-1.611000e+01;1.560000e-02
  251;-1.610000e+01;1.360000e-02
  252;-1.609000e+01;1.560000e-02
  253;-1.608000e+01;1.520000e-02
  254;-1.607000e+01;1.520000e-02
  255;-1.606000e+01;1.480000e-02
  256;-1.605000e+01;1.600000e-02
  257;-1.604000e+01;1.600000e-02
  258;-1.603000e+01;1.480000e-02
  259;-1.602000e+01;1.480000e-02
  260;-1.601000e+01;1.480000e-02
  261;-1.600000e+01;1.480000e-02
  262;-1.599000e+01;1.520000e-02
  263;-1.598000e+01;1.480000e-02
  264;-1.597000e+01;1.560000e-02
  265;-1.596000e+01;1.440000e-02
  266;-1.595000e+01;1.480000e-02
  267;-1.594000e+01;1.320000e-02
  268;-1.593000e+01;1.480000e-02
  269;-1.592000e+01;1.400000e-02
  270;-1.591000e+01;1.520000e-02
  271;-1.590000e+01;1.400000e-02
  272;-1.589000e+01;1.480000e-02
  273;-1.588000e+01;1.440000e-02
  274;-1.587000e+01;1.360000e-02
  275;-1.586000e+01;1.440000e-02
  276;-1.585000e+01;1.240000e-02
  277;-1.584000e+01;1.440000e-02
  278;-1.583000e+01;1.480000e-02
  279;-1.582000e+01;1.360000e-02
  280;-1.581000e+01;1.480000e-02
  281;-1.580000e+01;1.400000e-02
  282;-1.579000e+01;1.520000e-02
  283;-1.578000e+01;1.400000e-02
  284;-1.577000e+01;1.560000e-02
  285;-1.576000e+01;1.560000e-02
  286;-1.575000e+01;1.520000e-02
  287;-1.574000e+01;1.600000e-02
  288;-1.573000e+01;1.520000e-02
  289;-1.572000e+01;1.680000e-02
  290;-1.571000e+01;1.520000e-02
  291;-1.570000e+01;1.520000e-02
  292;-1.569000e+01;1.400000e-02
  293;-1.568000e+01;1.600000e-02
  294;-1.567000e+01;1.400000e-02
  295;-1.566000e+01;1.480000e-02
  296;-1.565000e+01;1.600000e-02
  297;-1.564000e+01;1.560000e-02
  298;-1.563000e+01;1.440000e-02
  299;-1.562000e+01;1.360000e-02
  300;-1.561000e+01;1.520000e-02
  301;-1.560000e+01;1.520000e-02
  302;-1.559000e+01;1.640000e-02
  303;-1.558000e+01;1.600000e-02
  304;-1.557000e+01;1.480000e-02
  305;-1.556000e+01;1.440000e-02
  306;-1.555000e+01;1.800000e-02
  307;-1.554000e+01;1.480000e-02
  308;-1.553000e+01;1.480000e-02
  309;-1.552000e+01;1.440000e-02
