Record:;0
YOffset:;-8.400000e+01
YMult:;8.000000e-04
YZero:;0.000000e+00
XIncr:;1.000000e-04
XZero:;-7.000000e-02
XUnit:;s
YUnit:;Volts
    1;-7.000000e-02;1.440000e-02
    2;-6.990000e-02;1.360000e-02
    3;-6.980000e-02;1.520000e-02
    4;-6.970000e-02;1.360000e-02
    5;-6.960000e-02;1.680000e-02
    6;-6.950000e-02;1.680000e-02
    7;-6.940000e-02;1.520000e-02
    8;-6.930000e-02;1.680000e-02
    9;-6.920000e-02;1.600000e-02
   10;-6.910000e-02;1.680000e-02
   11;-6.900000e-02;1.600000e-02
   12;-6.890000e-02;1.520000e-02
   13;-6.880000e-02;1.680000e-02
   14;-6.870000e-02;1.520000e-02
   15;-6.860000e-02;1.600000e-02
   16;-6.850000e-02;1.680000e-02
   17;-6.840000e-02;1.600000e-02
   18;-6.830000e-02;1.440000e-02
   19;-6.820000e-02;1.600000e-02
   20;-6.810000e-02;1.600000e-02
   21;-6.800000e-02;1.520000e-02
   22;-6.790000e-02;1.440000e-02
   23;-6.780000e-02;1.520000e-02
   24;-6.770000e-02;1.520000e-02
   25;-6.760000e-02;1.600000e-02
   26;-6.750000e-02;1.600000e-02
   27;-6.740000e-02;1.600000e-02
   28;-6.730000e-02;1.520000e-02
   29;-6.720000e-02;1.600000e-02
   30;-6.710000e-02;1.520000e-02
   31;-6.700000e-02;1.520000e-02
   32;-6.690000e-02;1.520000e-02
   33;-6.680000e-02;1.520000e-02
   34;-6.670000e-02;1.680000e-02
   35;-6.660000e-02;1.440000e-02
   36;-6.650000e-02;1.520000e-02
   37;-6.640000e-02;1.520000e-02
   38;-6.630000e-02;1.520000e-02
   39;-6.620000e-02;1.440000e-02
   40;-6.610000e-02;1.680000e-02
   41;-6.600000e-02;1.600000e-02
   42;-6.590000e-02;1.600000e-02
   43;-6.580000e-02;1.680000e-02
   44;-6.570000e-02;1.440000e-02
   45;-6.560000e-02;1.680000e-02
   46;-6.550000e-02;1.440000e-02
   47;-6.540000e-02;1.440000e-02
   48;-6.530000e-02;1.520000e-02
   49;-6.520000e-02;1.440000e-02
   50;-6.510000e-02;1.520000e-02
   51;-6.500000e-02;1.600000e-02
   52;-6.490000e-02;1.680000e-02
   53;-6.480000e-02;1.360000e-02
   54;-6.470000e-02;1.440000e-02
   55;-6.460000e-02;1.520000e-02
   56;-6.450000e-02;1.440000e-02
   57;-6.440000e-02;1.440000e-02
   58;-6.430000e-02;1.520000e-02
   59;-6.420000e-02;1.440000e-02
   60;-6.410000e-02;1.440000e-02
   61;-6.400000e-02;1.600000e-02
   62;-6.390000e-02;1.520000e-02
   63;-6.380000e-02;1.520000e-02
   64;-6.370000e-02;1.520000e-02
   65;-6.360000e-02;1.520000e-02
   66;-6.350000e-02;1.520000e-02
   67;-6.340000e-02;1.520000e-02
   68;-6.330000e-02;1.440000e-02
